,,,,,,,,,,,,"""=Definitions!$D$3:$D$30""","""=INDIRECT($Mrow number)""","""=INDIRECT($Nrow number)""",,,,
,,,,,,,,,,,,LOV COLUMN 1,LOV COLUMN 2,LOV COLUMN 3,,,,
Material.Code,,GENERIC CODE,"CORRECT 
MATERIAL CODE","Column 2
LOV KEY","Column 3
LOV KEY",COMMENT,KLUBER,"Correct Sonae Code
Kluber",CASTROL,"Correct Sonae Code
Castrol","Other
Manfuacturer","Shape
(Visc Grade for oils)","OILS - Shape Colour
(ID for base oil type)

GREASES - Shape Colour
(ID for diferentiation)","OILS - Background Colour
(Machine Type)

GREASES - Background Colour
(Thickener Type)","UNSPSC
CODE","EOTD
RULE",Hyperlink to tag,
,,,,,,,,,,,,,,,,,,
4110199150,0,OM-5W-40-S,4110199150,OM,OOM,,,,HighTronic 5W-40,4110199150,,Hexagon SAE-VG 40,Purple-Synthetic,Black-Engine Oils,,,,C:\Users\mjhemswo\Sonae Arauco\Production Consumables - OILS and LUBRICANTS\4110201572 OO-46-S(E)-HT\4110201572-Viscogen 3N.pdf
4110199140,0,OM-5W-30-S/S,4110199140,OM,OOM,,,,SuperTronic K 5W-30,4110199140,,Pentagon SAE-VG 30,Brown-Semi-Synthetic,Black-Engine Oils,,,,C:\Users\mjhemswo\Sonae Arauco\Production Consumables - OILS and LUBRICANTS\4110199145 OO-46-M-AW\4110199145-Renolin Eterna 46.pdf
4110201574,0,OM-5W-30-S,4110201574,OM,OOM,"Code is wrong, should be OM-5W-30-S/S",,,SuperTronic K 5W-30,4110201574,,Pentagon SAE-VG 30,,Black-Engine Oils,,,,C:\Users\mjhemswo\Sonae Arauco\Production Consumables - OILS and LUBRICANTS\4110199144 OO-46-M\4110199144-Perfecto X 46.pdf
4110201593,0,OM-32-M,4110201593,OM,OOM,,,,Alpha VT 32,4110201593,,Square ISO-VG 32,Red-Mineral,Black-Engine Oils,,,,C:\Users\mjhemswo\Sonae Arauco\Production Consumables - OILS and LUBRICANTS\4110199143 OO-460-M\4110199143-Magna CL 460.pdf
4110002220,0,OM-30-M,4110199129,OM,OOM,,,,CRB Monograde 30 CF,4110199129,,,,,,,,C:\Users\mjhemswo\Sonae Arauco\Production Consumables - OILS and LUBRICANTS\4110201839 OO-32-S(POE)-HT\4110201839-Viscogen KL 3.pdf
4110199129,0,OM-30-M,4110199129,OM,OOM,,,,CRB Monograde 30 CF,4110199129,,Pentagon SAE-VG 30,Black-Mineral,Black-Engine Oils,,,,
4110199128,0,OM-20W-M,4110199128,OM,OOM,,,,Turboral 20W-20,4110199128,,Square SAE-VG 20W-20,Black-Mineral,Black-Engine Oils,,,,C:\Users\mjhemswo\Sonae Arauco\Production Consumables - OILS and LUBRICANTS\4110204985 OO-32-M\4110204985-Perfecto X 32.pdf
4110199146,0,OM-15W-40-M,4110199146,OM,OOM,,,,Agri MP 15W-40,4110199146,,Hexagon SAE-VG 40,Red-Mineral,Black-Engine Oils,,,,C:\Users\mjhemswo\Sonae Arauco\Production Consumables - OILS and LUBRICANTS\4110200587 OO-280-S(POE)-HT\4110200587-Viscogen KLK 28.pdf
4110199103,0,OM-10W-M,4110199103,OM,OOM,,,,CRB Monograde 10W CF,4110199103,,Triangle SAE-VG 10W,Black-Mineral,Black-Engine Oils,,,,
4110199064,0,OM-10W-40-S(PAO),4110199064,OM,OOM,,,,Vecton LongDrain 10W40 E7,4110199064,,Hexagon SAE-VG 40,Green-Synthetic (PAO),Black-Engine Oils,,,,C:\Users\mjhemswo\Sonae Arauco\Production Consumables - OILS and LUBRICANTS\4110199092 OO-260-S(POE)-HT\4110199092-Viscogen KLK 25.pdf
4110199087,0,OH-68-M-AW-HVI-ASHLESS,4110199087,OH,OOH,,,,Hyspin HVI 68,4110199087,,Hexagon ISO-VG 68,Gray-Mineral - AW - High VI - ASHLESS,Green-Hydraulic Oils,,,,C:\Users\mjhemswo\Sonae Arauco\Production Consumables - OILS and LUBRICANTS\4110201594 OO-22-M-EP\4110201594-Molub-Alloy CH 22.pdf
